key,ticker,label,score,quote
AAPL_8-K_0001140361-24-024352,AAPL,neutral,0.9443,) ) ) Case No. 4:19-cv-05153-YGR NOTICE OF PENDENCY AND PROPOSED SETTLEMENT OF SHAREHOLDER DERIVATIVE ACTIONS NOTICE OF PENDENCY AND PROPOSED SETTLEMENT OF SHAREHOLDER DERIVATIVE ACTIONS NOTICE OF PEN
AAPL_8-K_0001140361-24-038403,AAPL,neutral,0.9442,Report (Date of earliest event reported) (Exact name of Registrant as specified in its charter) (State or other jurisdiction of incorporation) (Commission File Number) (I.R.S. Employer Identification 
AAPL_8-K_0001140361-24-040659,AAPL,neutral,0.9451,"of Report (Date of earliest event reported) (Exact name of Registrant as specified in its charter) (State or other jurisdiction of incorporation) (Commission File Number) , (Address of principal execu"
AAPL_8-K_0001193125-22-214914,AAPL,neutral,0.9464,Report (Date of earliest event reported) (Exact name of Registrant as specified in its charter) (State or other jurisdiction of incorporation) (Commission File Number) (I.R.S. Employer Identification 
AAPL_8-K_0001193125-22-225365,AAPL,neutral,0.9428,Report (Date of earliest event reported) (Exact name of Registrant as specified in its charter) (State or other jurisdiction of incorporation) (Commission File Number) (I.R.S. Employer Identification 
MSFT_8-K_0000950170-23-034400,MSFT,positive,0.9275,2 billion and increased 8% (up 10% in constant currency) • Operating income was $24. 3 billion and increased 18% (up 21% in constant currency) • Net income was $20. 1 billion and increased 20% (up 23%
MSFT_8-K_0000950170-23-054848,MSFT,positive,0.9356,5 billion and increased 13% (up 12% in constant currency) • Operating income was $26. 9 billion and increased 25% (up 24% in constant currency) • Net income was $22. 3 billion and increased 27% (up 26
MSFT_8-K_0000950170-24-008809,MSFT,positive,0.8898,"93 and increased 33%, and increased 26% non-GAAP (up 23% in constant currency) Microsoft completed the acquisition of Activision Blizzard, Inc.  (“Activision”) on October 13, 2023.  Financial results "
MSFT_8-K_0000950170-24-048268,MSFT,positive,0.9341,9 billion and increased 17% • Operating income was $27. 6 billion and increased 23% • Net income was $21. 9 billion and increased 20% • Diluted earnings per share was $2. 94 and increased 20% “Microso
MSFT_8-K_0000950170-24-087835,MSFT,positive,0.9546,7 billion and increased 15% (up 16% in constant currency) • Operating income was $27. 9 billion and increased 15% (up 16% in constant currency) • Net income was $22. 0 billion and increased 10% (up 11
MSFT_8-K_0000950170-24-118955,MSFT,positive,0.9183,6 billion and increased 16% • Operating income was $30. 6 billion and increased 14% • Net income was $24. 7 billion and increased 11% (up 10% in constant currency) • Diluted earnings per share was $3.
MSFT_8-K_0000950170-24-132722,MSFT,neutral,0.7148,"artificial intelligence (“AI”) available broadly and doing so responsibly, with a mission to empower every person and every organization on the planet to achieve more. We create platforms and tools, p"
MSFT_8-K_0001104659-23-109428,MSFT,neutral,0.9466,"October 16, 2023 – Microsoft Corporation (Nasdaq: MSFT) (“ Microsoft ”) and Activision Blizzard, Inc. (Nasdaq: ATVI) (“ Activision Blizzard ”) today announced that, in connection with the previously a"
MSFT_8-K_0001193125-23-009934,MSFT,neutral,0.5509,"rtners, a few things are clear. First, as we saw customers accelerate their digital spend during the pandemic, we’re now seeing them optimize their digital spend to do more with less. We’re also seein"
MSFT_8-K_0001193125-23-254151,MSFT,neutral,0.8671,"oday, we’re sharing an update about our ongoing audit with the U.S. Internal Revenue Service (IRS), including background and context for this specific case and what we generally expect next. Backgroun"
MSFT_8-K_0001193125-23-255762,MSFT,neutral,0.9474,Report (Date of earliest event reported) (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation) (Commission File Number) (IRS Employer Identification No.
MSFT_8-K_0001193125-23-265616,MSFT,neutral,0.9338,"rosoft Corporation (Nasdaq: MSFT) (“ Microsoft ”) today announced that, in connection with the previously announced offers to Eligible Holders (as defined herein) to exchange (each an “ Exchange Offer"
MSFT_8-K_0001193125-23-271376,MSFT,neutral,0.9491,Report (date of earliest event reported): (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation) (Commission File Number) (IRS Employer Identification No
MSFT_8-K_0001193125-23-291720,MSFT,neutral,0.9517,"port (Date of earliest event reported) (State or Other Jurisdiction of Incorporation) (Commission File Number) (IRS Employer Identification No.) , , ( ) www.microsoft.com/investor Check the appropriat"
MSFT_8-K_0001193125-24-011295,MSFT,neutral,0.8476,"rporate systems on January 12, 2024, and immediately activated our response process to investigate, disrupt malicious activity, mitigate the attack, and deny the threat actor further access. Microsoft"
MSFT_8-K_0001193125-24-204403,MSFT,neutral,0.935,ments about future events. These statements are based on current expectations and assumptions that are subject to risks and uncertainties. Actual results could materially differ because of factors dis
MSFT_8-K_0001193125-24-275524,MSFT,neutral,0.9519,"Report (Date of earliest event reported) Microsoft Corporation 91-1144442 (State or Other Jurisdiction of Incorporation) (Commission File Number) (IRS Employer Identification No.) , , ( ) www.microsof"
GOOGL_8-K_0001193125-23-110657,GOOGL,neutral,0.9451,Report (Date of earliest event reported) (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation) (Commission File Number) (IRS Employer Identification No.
GOOGL_8-K_0001193125-23-163590,GOOGL,neutral,0.9426,Report (Date of earliest event reported) (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation) (Commission File Number) (IRS Employer Identification No.
GOOGL_8-K_0001193125-24-154725,GOOGL,neutral,0.5813,"today announced that Anat Ashkenazi, currently Executive Vice President and Chief Financial Officer at Eli Lilly and Company, will join its management team as Chief Financial Officer and Senior Vice P"
GOOGL_8-K_0001193125-24-157498,GOOGL,neutral,0.9434,Report (Date of earliest event reported) (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation) (Commission File Number) (IRS Employer Identification No.
GOOGL_8-K_0001193125-24-160721,GOOGL,neutral,0.9499,Report (Date of earliest event reported) (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation) (Commission File Number) (IRS Employer Identification No.
GOOGL_8-K_0001193125-24-168745,GOOGL,neutral,0.9089,"by Tutanota LLC MOUNTAIN VIEW, Calif. (June 26, 2024) – Alphabet Inc. (NASDAQ: GOOG, GOOGL) today announced that it has received notice of an unsolicited mini-tender offer by Tutanota LLC to purchase "
GOOGL_8-K_0001652044-23-000005,GOOGL,neutral,0.9445,______________________________ CURRENT REPORT Pursuant to Section 13 or 15(d) of The Securities Exchange Act of 1934 Date of Report (Date of earliest event reported) __________________________________
GOOGL_8-K_0001652044-23-000013,GOOGL,positive,0.6673,"GOOGL) today announced financial results for the quarter and fiscal year ended December 31, 2022. Sundar Pichai, CEO of Alphabet and Google, said: “Our long-term investments in deep computer science m"
GOOGL_8-K_0001652044-23-000034,GOOGL,negative,0.8159,"nd our financial results for the first quarter of 2023, which we will release on Tuesday, April 25, by summarizing a few reporting and disclosure topics, as follows: Three topics we announced in our f"
GOOGL_8-K_0001652044-23-000041,GOOGL,positive,0.8401,"ced financial results for the quarter ended March 31, 2023. Sundar Pichai, CEO of Alphabet and Google, said: “We are pleased with our business performance in the first quarter, with Search performing "
GOOGL_8-K_0001652044-23-000067,GOOGL,neutral,0.617,"Chief Investment Officer MOUNTAIN VIEW, Calif. – July 25, 2023 – Alphabet Inc. (NASDAQ: GOOG, GOOGL) today announced financial results for the quarter ended June 30, 2023. Sundar Pichai, CEO of Alphab"
GOOGL_8-K_0001652044-23-000088,GOOGL,neutral,0.8139,"unced financial results for the quarter ended September 30, 2023. Sundar Pichai, CEO, said: “I’m pleased with our financial results and our product momentum this quarter, with AI-driven innovations ac"
GOOGL_8-K_0001652044-24-000014,GOOGL,positive,0.5115,"GOOGL) today announced financial results for the quarter and fiscal year ended December 31, 2023. Sundar Pichai, CEO, said: “We are pleased with the ongoing strength in Search and the growing contribu"
GOOGL_8-K_0001652044-24-000032,GOOGL,neutral,0.9445,______________________________ CURRENT REPORT Pursuant to Section 13 or 15(d) of The Securities Exchange Act of 1934 Date of Report (Date of earliest event reported) __________________________________
GOOGL_8-K_0001652044-24-000047,GOOGL,neutral,0.8501,"ced financial results for the quarter ended March 31, 2024. Sundar Pichai, CEO, said: “Our results in the first quarter reflect strong performance from Search, YouTube and Cloud. We are well under way"
GOOGL_8-K_0001652044-24-000076,GOOGL,neutral,0.7919,"ced financial results for the quarter ended June 30, 2024. Sundar Pichai, CEO, said: “Our strong performance this quarter highlights ongoing strength in Search and momentum in Cloud. We are innovating"
GOOGL_8-K_0001652044-24-000085,GOOGL,neutral,0.9445,______________________________ CURRENT REPORT Pursuant to Section 13 or 15(d) of The Securities Exchange Act of 1934 Date of Report (Date of earliest event reported) __________________________________
GOOGL_8-K_0001652044-24-000097,GOOGL,neutral,0.9094,"Offer by Tutanota LLC MOUNTAIN VIEW, Calif. (September 24, 2024) – Alphabet Inc. (NASDAQ: GOOG, GOOGL) today announced that it has received notice of an unsolicited mini-tender offer by Tutanota LLC t"
GOOGL_8-K_0001652044-24-000115,GOOGL,positive,0.9463,"unced financial results for the quarter ended September 30, 2024. • Consolidated Alphabet revenues in Q3 2024 increased 15%, or 16% in constant currency, year over year to $88.3 billion reflecting str"
JPM_8-K_0000019617-24-000330,JPM,neutral,0.8481,34 Date of Report (date of earliest event reported): . (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation or organization) (Commission File Number) (I
JPM_8-K_0000019617-24-000402,JPM,neutral,0.9387,t Reorganization) FIVE QUARTER TREND THROUGH 1Q24 AND FULL YEAR 2023 & 2022 JPMORGAN CHASE & CO. TABLE OF CONTENTS Page(s) Summary of the Reportable Business Segment Reorganization 2 Business Segment 
JPM_8-K_0000019617-24-000404,JPM,neutral,0.8859,y presentations contain forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. These statements are based on the current beliefs and expectations of JPM
JPM_8-K_0000019617-24-000411,JPM,neutral,0.9299,34 Date of Report (date of earliest event reported): . (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation or organization) (Commission File Number) (I
JPM_8-K_0000019617-24-000434,JPM,neutral,0.9458,34 Date of Report (date of earliest event reported): . (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation or organization) (Commission File Number) (I
JPM_8-K_0000019617-24-000435,JPM,neutral,0.948,34 Date of Report (date of earliest event reported): . (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation or organization) (Commission File Number) (I
JPM_8-K_0000019617-24-000446,JPM,positive,0.9416,"E symbol: JPM www.jpmorganchase.com JPMORGAN CHASE REPORTS SECOND-QUARTER 2024 NET INCOME OF $18.1 BILLION ( $6.12 PER SHARE), NET INCOME EXCLUDING SIGNIFICANT ITEMS OF $13.1 BILLION ($4.40 PER SHARE)"
JPM_8-K_0000019617-24-000448,JPM,neutral,0.9464,34 Date of Report (date of earliest event reported): . (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation or organization) (Commission File Number) (I
JPM_8-K_0000019617-24-000555,JPM,positive,0.9299,symbol: JPM www.jpmorganchase.com JPMORGAN CHASE REPORTS THIRD-QUARTER 2024 NET INCOME OF $12.9 BILLION ( $4.37 PER SHARE) THIRD-QUARTER 2024 RESULTS 1 ROE 16% ROTCE 2 19% CET1 Capital Ratios 3 Std. 1
JPM_8-K_0000019617-24-000558,JPM,neutral,0.9463,34 Date of Report (date of earliest event reported): . (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation or organization) (Commission File Number) (I
JPM_8-K_0000019617-24-000595,JPM,positive,0.8021," and  Momentive (formerly SurveyMonkey).  He co-founded with his wife the Wing 2 Wing Foundation,  which provides access and support for education, entrepreneurship mentoring and investment in  unders"
JPM_8-K_0000019617-24-000660,JPM,positive,0.7438," In addition, Ms.  Buck was Benefit Co-Chair for the Children’s Brain Tumor  Foundation.     “Michele Buck has deep experience leading large, complex global organizations and guiding  transformational"
JPM_8-K_0000950103-24-007646,JPM,neutral,0.9478,13 or 15(d) of the Securities Exchange Act of 1934 Date of Report (date of earliest event reported): ____________________________ (Exact Name of Registrant as Specified in Its Charter) (State or Other
JPM_8-K_0001193125-24-104926,JPM,neutral,0.9471,Report (date of earliest event reported): JPMorgan Chase & Co. (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation or organization) (Commission File Nu
JPM_8-K_0001193125-24-182227,JPM,neutral,0.9472,Report (date of earliest event reported): . (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation or organization) (Commission File Number) (I.R.S. emplo
JPM_8-K_0001193125-24-241062,JPM,neutral,0.9468,Report (date of earliest event reported): JPMorgan Chase & Co. (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation or organization) (Commission File Nu
TSLA_8-K_0000950170-23-031241,TSLA,neutral,0.9497,"480,000 vehicles and delivered over 466,000 vehicles. Production Deliveries Subject to operating lease accounting Model S/X 19,489 19,225 8% Model 3/Y 460,211 446,915 5% Total 479,700 466,140 5% *** T"
TSLA_8-K_0000950170-23-033544,TSLA,positive,0.9364,08 Other Highlights 09 Outlook 10 Photos & Charts 11 Key Metrics 17 Financial Statements 20 Additional Information 26 S U M M A R Y H I G H L I G H T S (1) Excludes SBC (stock-based compensation) (2) 
TSLA_8-K_0000950170-23-033695,TSLA,neutral,0.9427,"INC., Plaintiff, v. ELON MUSK, BRAD BUSS, ROBYN M. DENHOLM, IRA EHRENPREIS, LAWRENCE J. ELLISON, ANTONIO J. GRACIAS, STEPHEN T. JURVETSON, LINDA JOHNSON RICE, JAMES MURDOCH, KIMBAL MUSK, KATHLEEN WILS"
TSLA_8-K_0000950170-23-038779,TSLA,neutral,0.7862,report (Date of earliest event reported): (Exact Name of Registrant as Specified in Charter) (State or Other Jurisdiction of Incorporation) (Commission File Number) (I.R.S. Employer Identification No.
TSLA_8-K_0000950170-23-050938,TSLA,negative,0.7529,"000 vehicles and delivered over 435,000 vehicles. A sequential decline in volumes was caused by planned downtimes for factory upgrades, as discussed on the most recent earnings call. Our 2023 volume t"
TSLA_8-K_0000950170-24-000282,TSLA,neutral,0.9521,"mately 495,000 vehicles and delivered over 484,000 vehicles. In 2023, vehicle deliveries grew 38% YoY to 1.81 million while production grew 35% YoY to 1.85 million. Thank you to all of our customers, "
TSLA_8-K_0000950170-24-007073,TSLA,positive,0.9383,10 Other Highlights 11 Outlook 12 Photos & Charts 13 Key Metrics 22 Financial Statements 24 Additional Information 31 S U M M A R Y H I G H L I G H T S (1) Excludes SBC (stock-based compensation) and 
TSLA_8-K_0000950170-24-040274,TSLA,negative,0.8697,"000 vehicles and delivered approximately 387,000 vehicles. We deployed 4,053 MWh of energy storage products in Q1, the highest quarterly deployment yet. Decline in volumes was partially due to the ear"
TSLA_8-K_0000950170-24-044588,TSLA,neutral,0.9102,report (Date of earliest event reported): (Exact Name of Registrant as Specified in Charter) (State or Other Jurisdiction of Incorporation) (Commission File Number) (I.R.S. Employer Identification No.
TSLA_8-K_0000950170-24-046895,TSLA,positive,0.9286,"08 Other Highlights 09 Outlook 10 Photos & Charts 11 Key Metrics 22 Financial Statements 24 Additional Information 30 S U M M A R Y H I G H L I G H T S (1) Excludes SBC (stock-based compensation), net"
TSLA_8-K_0001104659-24-071439,TSLA,neutral,0.9513,of report (Date of earliest event reported): (Exact Name of Registrant as Specified in Charter) (State or Other Jurisdiction of Incorporation) (Commission File Number) (I.R.S. Employer Identification 
TSLA_8-K_0001564590-23-005126,TSLA,neutral,0.9514,"over 440,000 vehicles and delivered over 422,000 vehicles. We continued to transition towards a more even regional mix of vehicle builds, including Model S/X vehicles in transit to EMEA and APAC. Prod"
TSLA_8-K_0001564590-23-005462,TSLA,neutral,0.9457,Act of 1934 Date of report (Date of earliest event reported): (Exact Name of Registrant as Specified in Charter) (State or Other Jurisdiction of Incorporation) (Commission File Number) (I.R.S. Employe
TSLA_8-K_0001564590-23-005959,TSLA,neutral,0.937,08 Other Highlights 09 Outlook 10 Photos & Charts 11 Key Metrics 19 Financial Statements 22 Additional Information 28 S U M M A R Y H I G H L I G H T S (1) Excludes SBC (stock-based compensation). (2)
TSLA_8-K_0001564590-23-007379,TSLA,neutral,0.9503,Act of 1934 Date of report (Date of earliest event reported): (Exact Name of Registrant as Specified in Charter) (State or Other Jurisdiction of Incorporation) (Commission File Number) (I.R.S. Employe
TSLA_8-K_0001628280-23-034588,TSLA,positive,0.8655,0 Photos & Charts 11 Key Metrics 16 Financial Statements 19 Additional Information 25 S U M M A R YH I G H L I G H T S (1) Excludes SBC (stock-based compensation) (2) Free cash flow = operating cash f
TSLA_8-K_0001628280-24-030714,TSLA,neutral,0.9454,"mately 411,000 vehicles and delivered approximately 444,000 vehicles. We deployed 9.4 GWh of energy storage products in Q2, the highest quarterly deployment yet. Production Deliveries Subject to opera"
TSLA_8-K_0001628280-24-032603,TSLA,positive,0.9509,"os & Charts 11 Key Metrics 20 Financial Statements 22 Additional Information 28 2 S U M M A R YH I G H L I G H T S (1) Excludes SBC (stock-based compensation), net of tax; (2) Free cash flow = operati"
TSLA_8-K_0001628280-24-041816,TSLA,neutral,0.947,"y 463,000 vehicles and deployed 6.9 GWh of energy storage products. Production Deliveries Subject to operating lease accounting Model 3/Y 443,668 439,975 3% Other Models 26,128 22,915 1% Total 469,796"
TSLA_8-K_0001628280-24-043432,TSLA,positive,0.9297,"os & Charts 11 Key Metrics 23 Financial Statements 25 Additional Information 31 2 S U M M A R YH I G H L I G H T S (1) Excludes SBC (stock-based compensation), net of tax; (2) Free cash flow = operati"
AAPL_8-K_0001140361-24-038601,AAPL,neutral,0.944,"te of Report (Date of earliest event reported) (Exact name of Registrant as specified in its charter) (State or other jurisdiction of incorporation) (Commission File Number) , (Address of principal ex"
AAPL_8-K_0001193125-22-278435,AAPL,negative,0.5683,"ted the primary iPhone ® 14 Pro and iPhone 14 Pro Max assembly facility located in Zhengzhou, China. The facility is currently operating at significantly reduced capacity. As we have done throughout t"
MSFT_8-K_0001193125-23-014230,MSFT,negative,0.7048,"4 billion GAAP and $17. 4 billion non-GAAP, and decreased 12% and 7%, respectively • Diluted earnings per share was $2. 20 GAAP and $2. 32 non-GAAP, and decreased 11% and 6%, respectively “The next ma"
MSFT_8-K_0001193125-23-115280,MSFT,positive,0.9344,9 billion and increased 7% (up 10% in constant currency) • Operating income was $22. 4 billion and increased 10% (up 15% in constant currency) • Net income was $18. 3 billion and increased 9% (up 14% 
MSFT_8-K_0001193125-23-181341,MSFT,neutral,0.9512,"Report (Date of earliest event reported) (State or Other Jurisdiction of Incorporation) (Commission File Number) (IRS Employer Identification No.) , , ( ) www.microsoft.com/investor Check the appropri"
GOOGL_8-K_0001193125-24-238769,GOOGL,neutral,0.9488,Report (Date of earliest event reported) (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation) (Commission File Number) (IRS Employer Identification No.
JPM_8-K_0001193125-24-183855,JPM,neutral,0.9517,Report (date of earliest event reported): . (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation or organization) (Commission File Number) (I.R.S. emplo
JPM_8-K_0001193125-24-203699,JPM,neutral,0.9513,Report (date of earliest event reported): . (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation or organization) (Commission File Number) (I.R.S. emplo
JPM_8-K_0001193125-24-228029,JPM,neutral,0.9476,Report (date of earliest event reported): . (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation or organization) (Commission File Number) (I.R.S. emplo
JPM_8-K_0001193125-24-268103,JPM,neutral,0.9501,Report (date of earliest event reported): JPMorgan Chase & Co. (Exact name of registrant as specified in its charter) (State or other jurisdiction of incorporation or organization) (Commission File Nu
